molecule_chembl_id,canonical_smiles,std_smiles,inchikey,mw
CHEMBL7244,CCCCCC[C@@H](C(=O)N1C[C@@H](Oc2ccc(CC(=O)O)cc2)C[C@H]1C(=O)O)n1cnc(NC(=O)c2ccccc2S(=O)(=O)O)c1,CCCCCC[C@@H](C(=O)N1C[C@@H](Oc2ccc(CC(=O)O)cc2)C[C@H]1C(=O)O)n1cnc(NC(=O)c2ccccc2S(=O)(=O)O)c1,NVBICAJOAFEGRK-HVCNVCAESA-N,656.7140000000004
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,AFSDNFLWKVMVRB-UHFFFAOYSA-N,302.194
CHEMBL414205,c1cncc(-c2nc3c([nH]2)-c2ccccc2CCC3)c1,c1cncc(-c2nc3c([nH]2)-c2ccccc2CCC3)c1,PAZBASWNOHAZDJ-UHFFFAOYSA-N,261.328
CHEMBL8643,Cc1ccc(-c2cc(OCCCC(C)(C)C(=O)O)ccc2OCCCC(C)(C)C(=O)O)cc1,Cc1ccc(-c2cc(OCCCC(C)(C)C(=O)O)ccc2OCCCC(C)(C)C(=O)O)cc1,WWTSDKAYHLQVPM-UHFFFAOYSA-N,456.57900000000024
CHEMBL6651,O=C1Nc2cccc(Cl)c2C12OCCO2,O=C1Nc2cccc(Cl)c2C12OCCO2,IZFWKLOVSIUDEK-UHFFFAOYSA-N,225.63099999999991
CHEMBL267415,Nc1nc2ccccc2c2nc(-c3ccco3)nn12,Nc1nc2ccccc2c2nc(-c3ccco3)nn12,WTQTWLIUVOLCCQ-UHFFFAOYSA-N,251.24899999999997
CHEMBL267485,O=C(O)COCc1ccc(Cl)c(Cl)c1,O=C(O)COCc1ccc(Cl)c(Cl)c1,MWZJIYRBTKZIPI-UHFFFAOYSA-N,235.066
CHEMBL7723,CSc1ncnc2c1ncn2Cc1ccccc1,CSc1ncnc2c1ncn2Cc1ccccc1,VFTQNGOHOHGYRP-UHFFFAOYSA-N,256.334
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,375.87100000000015
CHEMBL9452,CCCCOc1ccccc1N1CCNCC1,CCCCOc1ccccc1N1CCNCC1,YNPHKRWUIFAKLL-UHFFFAOYSA-N,234.34299999999993
